id,client_name,client_country,order_date,order_value
596,Betta,Poland,2021-08-13,58531.96
597,Noni,Indonesia,2021-09-25,87660.09
598,Natasha,France,2021-08-04,49285.89
599,Sibilla,Tajikistan,2021-06-19,72313.17
600,Gale,Philippines,2021-05-19,10742.22
601,Bertine,Nepal,2021-12-26,31595.68
602,Shoshanna,Peru,2021-06-28,12466.17
603,Gilemette,Russia,2021-12-14,50200.06
604,Patrizia,Italy,2021-07-04,59096.01
605,Norry,Uganda,2021-09-21,55956.24
606,Christin,Sweden,2021-10-07,11141.25
607,Davey,Czech Republic,2021-12-30,31790.19
608,Emmy,Portugal,2022-02-10,57682.75
609,Nolan,Philippines,2021-08-24,99107.72
610,Leonard,China,2021-08-26,17545.87
611,Gabi,Indonesia,2021-11-15,44529.01
612,Courtenay,China,2022-05-02,78380.33
613,Libby,China,2021-12-11,76731.38
614,Stefa,Philippines,2021-10-22,42249.38
615,Lauri,China,2021-10-22,10008.75
616,Ly,Indonesia,2021-12-31,29571.56
617,Bliss,Philippines,2022-04-23,42130.33
618,Hope,China,2022-01-29,19873.34
619,Ryon,Russia,2021-05-20,17097.67
620,Sheilah,China,2021-07-22,80630.31
621,Gasparo,Brazil,2022-04-15,75404.98
622,Hamnet,China,2021-08-07,54713.94
623,Patten,China,2021-08-24,68610.14
624,Lorrayne,China,2021-06-10,80072.05
625,Jobey,France,2021-11-13,96190.98
626,Lemmie,Russia,2021-08-10,25819.55
627,Bill,Russia,2022-03-12,56665.16
628,Karney,China,2021-08-10,50281.34
629,Rana,Cuba,2021-07-22,6904.32
630,Burg,Poland,2022-02-01,62664.56
631,Louisa,Tunisia,2021-11-17,19704.32
632,Esteban,Poland,2021-10-11,43333.03
633,Delmar,Greece,2022-03-17,3626.57
634,Brent,China,2021-07-20,42766.67
635,Rutledge,Indonesia,2022-02-01,12576.66
636,Therese,Afghanistan,2022-03-31,10405.67
637,Wyndham,Portugal,2021-12-18,23841.95
638,Desmund,Peru,2021-06-20,64436.71
639,Ashley,Estonia,2021-07-01,88782.0
640,Tobias,Namibia,2021-11-18,13224.71
641,Adham,Sweden,2022-01-21,12731.37
642,Lucie,Colombia,2021-06-11,90436.17
643,Geoffry,Brazil,2022-03-01,30275.54
644,Babette,South Africa,2021-12-08,58736.72
645,Pavla,Indonesia,2021-06-28,83225.29
646,Freedman,Mauritius,2021-10-21,10640.71
647,Marta,Azerbaijan,2021-11-09,57982.73
648,Fanny,France,2022-03-27,39972.4
649,Torey,Malaysia,2021-10-06,31086.71
650,Nobe,Papua New Guinea,2021-07-06,48719.11
651,Wilie,Indonesia,2021-09-23,55952.87
652,Geralda,Thailand,2021-07-04,41124.23
653,Briana,Poland,2021-10-11,95412.57
654,Melvyn,Portugal,2021-07-31,74074.21
655,Corny,Poland,2022-01-14,84188.24
656,Jervis,Philippines,2022-04-30,23435.76
657,Erasmus,China,2022-03-24,33334.19
658,Grier,Albania,2021-06-19,85736.84
659,Wendel,Bangladesh,2021-06-04,11082.42
660,Atlante,France,2021-12-26,73046.96
661,Dulsea,Colombia,2021-11-18,74685.42
662,Cullin,South Africa,2022-01-24,56524.86
663,Sharon,China,2021-06-10,72887.82
664,Crysta,Philippines,2021-06-17,98556.71
665,Pam,Ukraine,2021-07-29,44205.17
666,Beck,Indonesia,2021-08-09,12826.34
667,Meta,Colombia,2021-12-13,99545.06
668,Terence,Indonesia,2022-04-21,40171.29
669,Charita,China,2021-08-23,12511.65
670,Cyndi,Japan,2022-03-02,79762.34
671,Fancie,Canada,2022-02-08,97142.07
672,Vernor,Russia,2022-04-07,81074.21
673,Myrtia,Poland,2022-04-14,57848.13
674,Page,China,2021-06-16,48802.83
675,Irita,Indonesia,2022-02-03,36377.83
676,Alvie,China,2022-01-31,21665.56
677,Chris,Peru,2021-08-16,59837.79
678,Stacee,Indonesia,2022-04-29,70077.85
679,Kettie,South Korea,2021-06-24,1436.43
680,Marinna,Brazil,2021-12-27,39719.98
681,Eduard,Russia,2022-02-16,86989.78
682,Sal,China,2021-08-27,31289.57
683,Daphne,Philippines,2021-08-22,90943.0
684,Wendye,Ukraine,2021-08-31,37179.77
685,Harper,Russia,2021-06-22,13149.93
686,Donella,Cuba,2021-09-11,71052.81
687,Dyna,Poland,2021-09-09,79537.73
688,Sheffie,China,2022-02-27,98024.17
689,Jephthah,Colombia,2021-07-09,36809.33
690,Fraser,Portugal,2021-08-18,14742.76
691,Thorvald,China,2021-08-10,31951.29
692,Courtnay,Iran,2021-07-25,81449.38
693,Christiano,Cayman Islands,2021-08-09,22099.44
694,Harriott,Argentina,2021-12-13,77320.13
695,Fancy,China,2021-08-14,25933.63
696,Eden,Bolivia,2021-10-29,58526.06
697,Sayers,Philippines,2021-06-02,81369.84
698,Benedikta,Costa Rica,2021-12-20,72471.38
699,Horton,Portugal,2021-07-16,44250.12
700,Chickie,Indonesia,2021-06-15,23509.1
701,Binnie,Brazil,2022-05-06,8018.86
702,Stacia,Colombia,2022-05-10,68762.68
703,Wilhelmine,Ukraine,2021-10-03,67090.11
704,Shirlene,Philippines,2021-11-08,60968.16
705,Florentia,Estonia,2022-02-04,75936.07
706,Lucille,Malaysia,2022-04-01,99133.54
707,Reed,Indonesia,2022-04-28,77801.97
708,Pascal,China,2021-11-02,12903.54
709,Danila,Sudan,2021-08-16,46346.69
710,Lydie,Cuba,2021-05-30,56440.55
711,Wheeler,Russia,2021-10-30,81831.29
712,Ladonna,Indonesia,2021-09-13,12185.21
713,Jammie,Ukraine,2022-01-28,98462.69
714,Clerissa,Azerbaijan,2021-08-04,70579.05
715,Padgett,Portugal,2022-03-12,28426.37
716,Magdalen,Philippines,2021-11-01,98624.53
717,Dalston,Macedonia,2021-11-10,37086.97
718,Patton,France,2021-12-17,52885.62
719,Giffard,Indonesia,2022-05-04,29224.06
720,Husain,Poland,2021-06-28,88319.08
721,Mari,Russia,2021-10-13,4245.84
722,Cecile,Colombia,2021-10-29,62426.51
723,Klaus,Peru,2021-08-14,82625.8
724,Celestyna,Russia,2021-12-22,46396.43
725,Loella,China,2021-10-25,94286.39
726,Carolyn,Argentina,2021-10-19,43705.84
727,Katee,Indonesia,2022-04-22,61245.12
728,Dana,Philippines,2021-05-25,49605.76
729,Haslett,Netherlands,2021-09-08,43715.21
730,Corenda,China,2021-11-08,62518.79
731,Paolo,Philippines,2021-10-08,89784.84
732,Waneta,Greece,2022-01-14,79319.39
733,Sidoney,Kazakhstan,2021-05-22,96270.29
734,Berty,Argentina,2022-03-26,95750.16
735,Rora,China,2021-11-19,79207.53
736,Jazmin,Indonesia,2021-08-08,2163.52
737,Adah,Iceland,2021-12-05,65967.7
738,Barbey,Philippines,2021-06-14,19940.73
739,Nicolette,China,2022-01-31,50674.86
740,Oren,Indonesia,2021-09-01,71803.88
741,Richard,China,2021-12-22,56295.83
742,Rouvin,Indonesia,2021-11-30,71600.47
743,Saloma,Serbia,2021-10-02,8713.99
744,Jorgan,Russia,2022-02-18,82345.57
745,Roberta,Azerbaijan,2021-10-10,64973.21
746,Chauncey,China,2022-05-13,10351.81
747,Dieter,Kosovo,2021-10-02,2127.59
748,Sylvan,Somalia,2021-10-25,543.08
749,Gian,Portugal,2022-04-27,12650.72
750,Tobi,China,2021-06-01,47343.11
751,Alfie,China,2021-07-23,34813.68
752,Hyman,China,2021-10-10,4526.24
753,Fin,Honduras,2022-05-01,53123.08
754,Erv,Canada,2021-11-04,8943.31
755,Loren,China,2022-05-08,93215.32
756,Kimbra,China,2021-09-06,15130.25
757,Lisette,Serbia,2021-10-18,14164.08
758,Darby,China,2021-11-18,33193.74
759,Dana,Albania,2022-01-28,62080.14
760,Garwood,China,2021-05-30,53747.8
761,Adriena,China,2022-04-26,14751.75
762,Prudy,Indonesia,2022-01-22,54757.42
763,Livvyy,Thailand,2021-12-15,64479.13
764,Patrick,China,2022-04-30,21209.25
765,Hanny,Poland,2021-06-01,71040.69
766,Yurik,Colombia,2021-06-25,55930.0
767,Shep,Portugal,2021-10-21,69788.47
768,Irma,Finland,2021-05-17,1604.28
769,Harley,Palestinian Territory,2021-06-30,57673.56
770,Raynard,China,2022-02-25,13273.95
771,Husain,Indonesia,2022-03-24,91106.22
772,Margy,China,2021-09-23,32876.09
773,Valentina,Philippines,2022-02-20,89569.28
774,Guillermo,Indonesia,2022-01-10,60270.18
775,Homerus,United States,2021-10-21,58951.73
776,Jarrad,Kazakhstan,2022-01-28,54678.38
777,Karlik,Poland,2021-05-30,24816.25
778,Auroora,China,2022-04-16,26606.63
779,Gnni,Indonesia,2021-09-18,67693.29
780,Daphene,New Zealand,2022-04-05,65657.36
781,Amble,Indonesia,2021-08-27,99088.38
782,Shelby,South Africa,2021-11-02,5299.21
783,Alfonse,Peru,2021-06-22,7597.59
784,Leta,Vietnam,2022-04-30,57078.28
785,Dale,Armenia,2021-09-22,31702.64
786,Quinta,China,2021-11-29,69865.18
787,Jaquenette,Czech Republic,2021-09-07,62766.78
788,Ilyssa,Vietnam,2022-01-02,95211.22
789,Judd,Colombia,2021-06-09,44603.27
790,Monty,China,2021-09-23,17636.89
791,Annemarie,Colombia,2022-01-27,113.85
792,Derrek,Liberia,2021-10-31,65357.39
793,Joceline,Indonesia,2021-07-14,89694.82
794,Eugenio,South Georgia and the South Sandwich Islands,2022-04-07,98623.83
795,Elset,Czech Republic,2021-12-17,39679.34
796,Aleta,Denmark,2022-01-01,34274.75
797,Yorker,Finland,2021-09-06,75894.09
798,Martica,United States,2022-03-04,9399.96
799,Dew,France,2021-07-07,66202.11
800,Laetitia,China,2021-08-04,24161.1
801,Dahlia,Indonesia,2021-09-24,66252.68
802,Gabe,Peru,2021-12-20,18338.77
803,Roman,Russia,2021-09-10,65895.77
804,Breanne,Nigeria,2021-09-11,41233.48
805,Hesther,Czech Republic,2021-12-03,73170.02
806,Birgitta,Mexico,2021-10-26,91291.02
807,Carlie,China,2021-11-24,63656.36
808,Adolph,United States,2022-05-10,82496.43
809,Roddy,Portugal,2021-05-28,81285.97
810,Harvey,Russia,2021-11-21,74389.3
811,Brock,Russia,2021-11-15,94422.01
812,Tanny,Russia,2022-01-14,80908.66
813,Clarie,Indonesia,2022-02-27,31875.3
814,Broderic,Tunisia,2021-05-23,11309.58
815,Adey,Vietnam,2021-10-11,97700.1
816,Marya,China,2021-05-26,8443.32
817,Bethany,Tanzania,2022-05-14,41086.05
818,Philippine,Croatia,2021-11-05,92457.38
819,Lyn,United States,2022-04-04,73904.64
820,Catlin,Gabon,2021-08-06,29748.33
821,Cornell,Israel,2022-01-29,21578.09
822,Pooh,Ivory Coast,2022-02-09,39598.17
823,Ettore,South Korea,2021-09-14,70363.5
824,Ola,China,2021-09-03,97839.6
825,Mitzi,China,2021-07-20,54630.23
826,Alida,Sweden,2021-11-22,23209.81
827,Heriberto,Burkina Faso,2021-09-21,98695.23
828,Claus,Japan,2021-10-27,15944.5
829,Roddie,Indonesia,2021-07-27,46357.81
830,Dominga,South Africa,2021-06-01,85698.05
831,Isabelle,Mexico,2021-07-17,40598.94
832,Gennie,China,2021-11-02,73231.02
833,Celeste,Indonesia,2021-09-14,79188.67
834,Jess,Croatia,2021-12-20,78599.44
835,Frieda,China,2022-01-18,29712.06
836,Rusty,China,2022-03-23,7962.8
837,Stormi,Czech Republic,2021-06-03,21672.63
838,Ladonna,Uganda,2021-10-25,32805.33
839,Emery,Nigeria,2022-03-17,98868.66
840,Janetta,Ukraine,2021-11-25,9320.99
841,Harmonie,China,2021-10-03,56138.82
842,Jordanna,China,2022-05-04,66784.05
843,Granny,Botswana,2021-10-25,40568.19
844,Ignacio,Indonesia,2021-11-24,23556.19
845,Dynah,Portugal,2021-10-11,44052.49
846,Thornie,Philippines,2021-07-09,19312.52
847,Ebenezer,Central African Republic,2022-03-05,69670.98
848,Tatiana,Brazil,2022-01-01,156.68
849,Rachael,Indonesia,2022-02-25,88341.8
850,Henka,Dominican Republic,2021-07-03,24582.51
851,Bernadina,Sweden,2022-03-14,78970.7
852,Enid,Ireland,2021-05-26,65753.45
853,Reggi,Mexico,2022-05-04,86279.12
854,Helyn,Russia,2022-01-15,37374.21
855,Jarrad,Colombia,2021-08-21,81361.83
856,Wilhelm,Poland,2022-04-28,72278.43
857,Lilli,Indonesia,2022-04-11,68944.39
858,Tiffy,Russia,2021-09-21,76757.04
859,Aleen,Guatemala,2021-06-08,44502.77
860,Cheryl,Portugal,2021-09-18,17943.52
861,Liliane,Cyprus,2022-02-16,18121.8
862,Gifford,Indonesia,2022-05-09,48639.01
863,Dicky,Poland,2022-03-14,15050.16
864,Herschel,Philippines,2021-07-23,99315.65
865,Germayne,Poland,2021-06-13,80613.04
866,Sansone,Russia,2021-07-11,69969.15
867,Corny,Sweden,2022-02-16,66459.33
868,Lucias,Canada,2021-06-15,55575.95
869,Thorpe,Ireland,2021-08-18,82663.83
870,Blanche,Peru,2022-03-23,96360.45
871,Collen,South Africa,2021-08-18,65072.77
872,Domingo,Sweden,2022-04-29,6437.85
873,Kim,Comoros,2022-02-14,26412.32
874,Valle,Russia,2022-04-12,27358.04
875,Giffard,Peru,2021-06-19,90060.32
876,Ignazio,Philippines,2021-08-26,28390.77
877,Lea,Portugal,2021-12-20,39999.42
878,Borden,Poland,2022-04-02,59026.73
879,Christopher,Russia,2022-04-25,50374.71
880,Bobina,Indonesia,2021-10-21,91654.75
881,Homer,China,2021-08-20,63797.25
882,Vida,Ecuador,2021-06-04,75077.33
883,Silva,Argentina,2022-04-14,55954.89
884,Willie,Colombia,2021-07-20,82207.53
885,Ethe,Colombia,2021-05-27,79783.11
886,Clem,Albania,2022-05-11,59122.59
887,Erv,Nicaragua,2021-06-23,5556.83
888,Derrek,Brazil,2021-12-10,35533.18
889,Lindy,Indonesia,2021-09-05,62948.3
890,Caldwell,United States,2021-08-29,7923.25
891,Hamlin,Indonesia,2022-03-13,87784.38
892,Monte,North Korea,2021-10-17,64303.1
893,Brunhilda,Greenland,2022-04-05,55876.36
894,Carma,France,2021-09-06,71198.65
895,Reamonn,Japan,2021-08-22,35884.99
896,Spenser,Thailand,2021-05-27,91373.98
897,Angelica,Honduras,2021-12-08,68316.52
898,Tara,Ukraine,2022-03-15,22097.46
899,Cirillo,China,2021-10-23,89695.08
900,Olive,Portugal,2021-10-24,26944.56
901,Roma,South Africa,2021-10-06,84648.4
902,Margarette,Iran,2022-01-10,65775.95
903,Aeriell,Philippines,2021-09-19,14325.0
904,Hyacinthia,United States,2021-08-08,23143.35
905,Bard,China,2021-11-08,41698.46
906,Calvin,Guatemala,2022-03-07,24759.1
907,Barnebas,France,2021-06-28,59846.34
908,Dennie,Indonesia,2022-01-20,94969.11
909,Shirline,Brazil,2021-12-06,18929.22
910,Chariot,China,2021-12-31,58079.1
911,Dur,Indonesia,2021-09-05,64414.48
912,Giordano,Indonesia,2021-11-05,90675.71
913,Lorinda,China,2022-03-10,57622.04
914,Adeline,Poland,2021-08-02,36567.23
915,Monty,Cuba,2022-03-08,73197.81
916,Rickie,Macedonia,2021-07-31,29442.59
917,Jorry,Iceland,2021-10-28,56237.29
918,Leonhard,Indonesia,2021-11-19,19640.01
919,Nerta,China,2021-07-24,35233.91
920,Renee,Thailand,2021-10-05,44057.87
921,Alta,Haiti,2021-10-06,89683.98
922,Kenn,Haiti,2022-04-26,1920.06
923,Pebrook,Portugal,2021-12-28,22019.79
924,Rhonda,Russia,2022-05-14,79699.04
925,Gray,China,2021-10-07,81177.6
926,Cyndi,Sweden,2022-04-20,97287.87
927,Willard,China,2021-05-19,1488.85
928,Findley,Russia,2021-11-29,57183.85
929,Bailie,Cuba,2021-07-27,39027.35
930,Dunc,Ireland,2022-01-06,99124.66
931,Padgett,China,2021-09-24,11391.63
932,Forest,Poland,2022-02-17,16437.96
933,Becki,Russia,2022-02-18,52432.58
934,Ches,New Zealand,2021-11-15,27276.94
935,Fredi,North Korea,2021-08-21,62478.96
936,Orren,Indonesia,2021-05-22,94098.8
937,Janifer,Cuba,2021-07-23,34458.09
938,Loraine,Poland,2022-03-21,86817.32
939,Susette,China,2021-08-11,91234.16
940,Ainslee,Indonesia,2021-06-19,3706.67
941,Nelia,Chile,2021-11-15,49149.68
942,Moll,United States,2022-02-13,59262.18
943,Rudolfo,China,2021-07-09,30999.35
944,Guinevere,Namibia,2022-05-02,79452.09
945,Judith,Australia,2021-10-28,38086.69
946,Missie,Albania,2022-02-02,95106.51
947,Efrem,Ukraine,2021-09-20,42613.34
948,Cristine,Canada,2021-06-12,49390.81
949,Brett,Palestinian Territory,2022-02-01,79645.41
950,Radcliffe,Indonesia,2021-05-24,53621.23
951,Joanne,Ukraine,2022-03-20,5143.01
952,Nicki,China,2021-10-23,2847.47
953,Virge,Russia,2021-09-04,25791.58
954,Cinderella,France,2021-11-15,19917.71
955,Ephraim,Poland,2022-03-24,12283.38
956,Amitie,Slovenia,2022-02-15,21229.53
957,Hansiain,China,2022-03-07,86847.33
958,Irwinn,China,2022-01-23,81253.48
959,Duffy,Indonesia,2021-07-26,38218.98
960,Nickey,Montenegro,2021-10-22,649.95
961,Carrol,Philippines,2021-06-04,62475.08
962,Mort,Tajikistan,2022-01-12,4791.79
963,Sarena,Ethiopia,2022-01-03,32484.21
964,Freddy,Sweden,2021-12-16,82165.33
965,Mirabella,East Timor,2021-05-25,72389.08
966,Crosby,Ukraine,2022-04-30,91962.68
967,Addy,China,2021-08-08,2555.47
968,Ilsa,China,2021-11-10,57753.96
969,Annemarie,Afghanistan,2022-03-26,48437.37
970,Andy,Pakistan,2022-03-09,36519.48
971,Marv,Poland,2022-03-09,63463.16
972,Jordain,Russia,2022-04-18,94839.96
973,Evyn,Ukraine,2021-07-06,56306.04
974,Ranna,Indonesia,2022-03-08,20028.42
975,Mariann,Portugal,2021-09-27,19557.11
976,Ardys,Japan,2021-06-30,2222.1
977,Jeralee,Russia,2021-09-01,46860.0
978,Carolann,Indonesia,2021-06-19,27827.5
979,Griffin,Indonesia,2022-01-26,14560.41
980,Florenza,Cuba,2022-03-21,5712.59
981,Alejoa,Colombia,2021-06-26,89125.88
982,Ulrick,Finland,2022-04-30,33118.13
983,Emilee,China,2022-03-05,81290.43
984,Jojo,Poland,2021-07-13,99168.23
985,Mickie,Indonesia,2022-01-29,53488.52
986,Roxanne,Portugal,2021-09-02,61517.13
987,Vlad,Peru,2021-07-12,11195.27
988,Bryn,France,2022-04-02,35826.52
989,Stacee,China,2021-09-01,28254.63
990,Elroy,Poland,2021-07-21,99826.78
991,Erskine,Tanzania,2021-06-17,477.81
992,Angel,Czech Republic,2021-09-18,59772.47
993,Ailey,China,2021-10-04,1323.57
994,Olenka,Philippines,2021-06-26,210.02
995,Sherman,Yemen,2021-11-24,39222.99
996,Clare,Poland,2021-11-04,59675.49
997,Rebecca,Norway,2021-12-09,98658.89
998,Tod,Thailand,2022-01-31,38467.27
999,Westbrooke,Poland,2021-12-16,78800.64
1000,Bastian,Brazil,2021-12-08,63379.51
